company_name,contact_type,email,confidence,source_url,notes,email_sent,send_date
Google (Alphabet),press,press@google.com,high,https://x.company/press/,Org press inbox,False,
Meta,press,press@meta.com,high,https://about.fb.com/news/,Org press inbox,False,
Amazon / AWS,press,amazon-pr@amazon.com,high,https://press.aboutamazon.com/contact-us,Org press inbox,False,
OpenAI (Stargate),press,press@openai.com,high,https://openai.com/index/announcing-the-stargate-project/,Org press inbox; Stargate JV partner,False,
SB Energy,press,press@sbenergy.com,high,https://sbenergy.com/openai-and-softbank-group-partner-with-sb-energy/,Org press inbox,False,
HUMAIN,press,pr@humain.com,high,https://www.humain.com/en/media-press.html,Org press inbox,False,
Microsoft,ir,msft@microsoft.com,high,https://www.microsoft.com/en-us/investor/contact-information,Investor relations inbox,False,
Global Switch,press,press@globalswitch.com,high,https://www.globalswitch.com/contact/,Org press inbox,False,
Data4 Group,press,press@data4group.com,high,https://www.data4group.com/en/press-contact-data4/,Org press inbox,False,
Nxtra by Airtel,sustainability,ESG@nxtra.in,high,https://assets.airtel.in/nxtra/pdf/Nxtra-Sustainability-Report-2025.pdf,Dedicated ESG/sustainability inbox - ideal for this pitch,False,
Equinix,press,press@equinix.com,high,https://newsroom.equinix.com/press-contacts,Org press inbox,False,
Equinix,ir,invest@equinix.com,high,https://investor.equinix.com/,Investor relations inbox,False,
Equinix,general,analystrelations@equinix.com,high,https://newsroom.equinix.com/press-contacts,Analyst relations inbox,False,
Digital Realty,ir,investorrelations@digitalrealty.com,high,https://investor.digitalrealty.com/resources/investor-contacts/,Investor relations inbox,False,
Google (Alphabet),press,press-inquiries@google.com,medium,https://www.alphabet.com/en-ww/press-contact,Alternate press inbox,False,
Amazon / AWS,press,aws-pr@amazon.com,medium,https://press.aboutamazon.com/aws,AWS-specific press inbox,False,
Oracle,ir,investor_us@oracle.com,medium,https://investor.oracle.com/faq/default.aspx,Investor relations inbox,False,
AirTrunk,press,media@airtrunk.com,medium,https://airtrunk.com/contact/,Org media inbox,False,
STACK Infrastructure,press,press@stackinfra.com,medium,https://www.stackinfra.com/about/contact/,Org press inbox,False,
STACK Infrastructure,press,press-emea@stackinfra.com,medium,https://www.stackinfra.com/about/contact/,EMEA press inbox,False,
EdgeConneX,press,press@edgeconnex.com,medium,https://www.edgeconnex.com/contact-us/,Org press inbox,False,
Aligned Data Centers,press,press@aligneddc.com,medium,https://aligneddc.com/contact/,Org press inbox,False,
CyrusOne,ir,investorrelations@cyrusone.com,medium,https://www.businesswire.com/news/home/20220324005891/en/,Investor relations inbox,False,
Brookfield Corporation,ir,bn.enquiries@brookfield.com,medium,https://www.sec.gov/Archives/edgar/data/1001085/,Investor/shareholder inbox (SEC filing),False,
Brookfield Asset Management,ir,bam.enquiries@brookfield.com,medium,https://bam.brookfield.com/,Investor/shareholder inbox,False,
DataVolt,general,info@data-volt.com,medium,https://data-volt.com/contact-us/,General inbox,False,
IXAfrica Data Centres,general,info@ixafrica.co.ke,medium,https://ixafrica.co.ke/contact/,General inbox,False,
Teraco Data Environments,general,sales@teraco.co.za,medium,https://www.teraco.co.za/contact-us/,General/sales inbox,False,
Colt Data Centre Services,general,dcsinfo@colt.net,medium,https://www.coltdatacentres.net/en-GB/contact/contact-form,General inbox,False,
Colt Data Centre Services,press,dcsmarketing@colt.net,medium,https://www.coltdatacentres.net/en-GB/press-releases,Marketing/press inbox,False,
Yondr Group,press,press@yondrgroup.com,medium,https://www.yondrgroup.com/newsroom/,Org press inbox,False,
Yondr Group,general,info@yondrgroup.com,medium,https://www.yondrgroup.com/contact-us/,General inbox,False,
CtrlS Datacenters,general,marketing@ctrls.in,medium,https://www.ctrls.com/contact-us/,Marketing inbox,False,
Yotta Infrastructure,general,info@yotta.com,medium,https://yotta.com/contact/,General inbox,False,
NEXTDC,ir,investorrelations@nextdc.com,high,https://www.nextdc.com/investor-centre,Investor relations inbox (ASX-listed),False,
Digital Edge,press,press@digitaledgedc.com,high,https://www.digitaledgedc.com/resources/newsroom/,Org press inbox,False,
Digital Edge,sustainability,esg@digitaledgedc.com,medium,https://www.digitaledgedc.com/esg/,ESG inbox - verify before use,False,
GDS Holdings,ir,ir@gds-services.com,high,https://gdsholdingsltd.gcs-web.com/shareholder-services/contact-ir/,Investor relations inbox (NASDAQ-listed),False,
VNET / 21Vianet,ir,ir@vnet.com,high,https://ir.21vianet.com/investor-resource/contact-ir-email-alerts,Investor relations inbox,False,
VNET / 21Vianet,ir,IR@21Vianet.com,high,https://ir.21vianet.com/news-releases/,Legacy IR inbox (same org),False,
Keppel Data Centres,ir,investor.relations@keppel.com,high,https://www.keppel.com/en/investors/investor-contacts/,Parent group IR inbox (Keppel Ltd SGX),False,
Bridge Data Centres,press,media@bridgedatacentres.com,high,https://www.bridgedatacentres.com/Press%20Releases/306.html,Org media inbox,False,
Bridge Data Centres,general,enquiry@bridgedatacentres.com,high,https://www.bridgedatacentres.com/m/Contact%20Us.html,General inbox,False,
DCI Data Centers,general,enquiries@dcidatacenters.com,high,https://dcidatacenters.com/contact/,General inbox,False,
TeraWulf,ir,investors@terawulf.com,high,https://investors.terawulf.com/news-events/press-releases/,Investor relations inbox (NASDAQ-listed),False,
TeraWulf,general,info@terawulf.com,high,https://www.terawulf.com/contact,General inbox,False,
Core Scientific,ir,ir@corescientific.com,high,https://investors.corescientific.com/company-information/contacts,Investor relations inbox,False,
Core Scientific,press,press@corescientific.com,high,https://investors.corescientific.com/company-information/contacts,Org press inbox,False,
Hut 8,ir,ir@hut8.com,high,https://www.globenewswire.com/news-release/2025/07/15/3115428/,Investor relations inbox,False,
Hut 8,press,media@hut8.com,high,https://www.globenewswire.com/news-release/2025/07/15/3115428/,Org media inbox,False,
Soluna Holdings,ir,ir@soluna.io,high,https://www.businesswire.com/news/home/20250605399518/en/,Investor relations inbox,False,
Soluna Holdings,general,hello@soluna.io,medium,https://www.solunacomputing.com/investors/,General inbox,False,
Applied Digital Corporation,ir,apld@gateway-grp.com,high,https://ir.applieddigital.com/news-events/press-releases/detail/149/,IR via agency Gateway Group,False,
Sify Technologies,ir,public.relations@sifycorp.com,high,https://www.sifytechnologies.com/contact/,IR + media inbox (NASDAQ-listed),False,
Khazna Data Centers,general,info@khazna.ae,high,https://khaznadatacenters.com/contact-us/,General inbox,False,
Gulf Data Hub,general,support@gulfdatahub.ae,high,https://www.gulfdatahub.ae/,General inbox,False,
Moro Hub,general,reach@morohub.com,high,https://www.morohub.com/,General inbox,False,
center3,general,info@center3.com,high,https://center3.com/contact-us,General inbox,False,
Mobily,ir,IRD@mobily.com.sa,high,https://www.mobily.com.sa/wps/portal/web/corporate/investor-relations/,Investor relations inbox,False,
STT GDC India,general,marketing@sttelemediagdc.in,medium,https://www.sttelemediagdc.com/in-en/contact,Marketing inbox,False,
maincubes,press,Media@maincubes.com,high,https://www.maincubes.com/en/company/press/,Org media inbox,False,
maincubes,general,info-de@maincubes.com,medium,https://www.maincubes.com/en/contact/,General HQ inbox,False,
EcoDataCenter,press,press@ecodatacenter.se,medium,https://ecodatacenter.tech/contact,Press inbox - verify,False,
EcoDataCenter,sustainability,john.wernvik@ecodatacenter.se,high,https://ecodatacenter.tech/press/,PERSONAL - CMO/Sustainability officer,False,
EXA Infrastructure,general,info@exainfra.net,high,https://exainfra.net/contact-us/,General inbox,False,
Echelon Data Centres,general,info@echelon-dc.com,medium,https://echelon-dc.com/contact-us/,General inbox,False,
Raxio Group,general,info@raxiogroup.com,high,https://www.raxiogroup.com/contact/,Org general inbox (HQ/Dubai/Nairobi),False,
Africa Data Centres (Cassava),general,enquiries@africadatacentres.com,high,https://www.africadatacentres.com/contact/,Org general inbox,False,
Open Access Data Centres,press,marketing@openaccessdc.net,high,https://openaccessdc.net/contact,Org marketing/media inbox,False,
Open Access Data Centres,general,enquiries@openaccessdc.net,high,https://openaccessdc.net/contact,General inbox,False,
MDXi / MainOne,press,MarComms@mainone.net,high,https://mainone.africa-newsroom.com/,Org media inbox,False,
MDXi / MainOne,general,info@mdx-i.com,medium,https://mainone.net/mainone-contact-information/,General inbox,False,
Cologix,sustainability,esg@cologix.com,high,https://cologix.com/about-us/esg-report/,Dedicated ESG inbox,False,
Novva Data Centers,general,compliance@novva.com,high,https://www.novva.com/contact/,Compliance/general inbox,False,
Sabey Data Centers,press,press@sabey.com,medium,https://sabeydatacenters.com/contact,Org press inbox,False,
DataBank,general,sales@databank.com,medium,https://www.databank.com/contact-us/,General/sales inbox,False,
TierPoint,general,sales@tierpoint.com,medium,https://www.tierpoint.com/contact-us/,General/sales inbox,False,
Switch Inc,ir,investorrelations@switch.com,medium,https://investors.switch.com/contact/contact-us/default.aspx,IR inbox - may be defunct post take-private,False,
Tract,general,info@tract.com,medium,https://www.tract.com/get-in-touch/,General inbox,False,
Tract,press,media@tract.com,medium,https://www.tract.com/get-in-touch/,Org media inbox,False,
Compass Datacenters,press,rmiller@compassdatacenters.com,medium,https://www.compassdatacenters.com/news/,PERSONAL - Rich Miller,False,
QTS Data Centers,press,carter.cromley@qtsdatacenters.com,medium,https://www.prnewswire.com/news-releases/qts-leaders-dedicate-chicago-mega-data-center-300299422.html,PERSONAL - PR contact,False,
Digital Edge,press,dina.yang@digitaledgedc.com,medium,https://www.digitaledgedc.com/resources/newsroom/,PERSONAL - named media contact,False,
DataBank,press,jlaqueur@databank.com,medium,https://www.databank.com/resources/press-releases/,PERSONAL - SVP Marketing,False,
TierPoint,press,Pete.Abel@tierpoint.com,medium,https://www.tierpoint.com/news/,PERSONAL - SVP/CMO,False,
Sify Technologies,ir,praveen.krishna@sifycorp.com,medium,https://www.sifytechnologies.com/contact/,PERSONAL - VP IR,False,
Crusoe Energy,press,saxelrod@crusoeenergy.com,medium,https://www.businesswire.com/news/home/20241015910376/en/,PERSONAL - Sr Dir Public Affairs,False,
TeraWulf,ir,harrison@terawulf.com,medium,https://investors.terawulf.com/news-events/press-releases/,PERSONAL - VP IR,False,
IREN (Iris Energy),ir,lincoln.tan@irisenergy.co,medium,https://irisenergy.gcs-web.com/news-releases/,PERSONAL - Dir IR,False,
Cipher Mining,ir,courtney.knight@ciphermining.com,medium,https://www.globenewswire.com/news-release/2025/09/04/3144967/,PERSONAL - Head of IR,False,
Rack Centre,general,bd@rack-centre.com,medium,https://rack-centre.com/contact-us/,Business development inbox,False,
Rack Centre,press,ada.ibelegbu@rack-centre.com,medium,https://rack-centre.com/contact-us/,PERSONAL - media contact,False,
Elea Data Centers,press,marketing@eleadatacenters.com,medium,https://isquaredcapital.com/news/latam-expansion-elea-data-centers-acquisition/,Marketing/press contact,False,
Applied Digital Corporation,press,jsa_applied@jsa.net,medium,https://ir.applieddigital.com/news-events/press-releases/detail/149/,AGENCY - Jaymie Scotto & Associates,False,
Cologix,press,jsa_cologix@jsa.net,medium,https://www.globenewswire.com/news-release/2022/04/27/2430445/,AGENCY - Jaymie Scotto & Associates,False,
Novva Data Centers,press,jsa_novva@jsa.net,medium,https://www.prnewswire.com/news-releases/novva-data-centers-tahoe-reno-302500299.html,AGENCY - Jaymie Scotto & Associates,False,
DataBank,press,databank@sourcecodecomms.com,medium,https://www.databank.com/resources/press-releases/,AGENCY - SourceCode Communications,False,
Sabey Data Centers,press,pr@imillerpr.com,medium,https://www.imillerpr.com/news/,AGENCY - iMiller PR,False,
EXA Infrastructure,press,exa@babelpr.com,medium,https://exainfra.net/media-centre/press-releases/,AGENCY - Babel PR,False,
Echelon Data Centres,press,info@4tc.ie,medium,https://echelon-dc.com/media-resources/,AGENCY - 4TC Communications,False,
Verne (Verne Global),press,eha@verneglobal.com,low,https://www.businesswire.com/news/home/20221018005248/en/,AGENCY alias (dated 2022),False,
Cirion Technologies,press,carolina.boitier@magmacomms.com,medium,https://press.ciriontechnologies.com/en/media-contact/,AGENCY - Magma Comms,False,
Pure Data Centres Group,press,puredc@pagefield.co.uk,medium,https://www.globenewswire.com/news-release/2026/05/28/3303028/,AGENCY - Pagefield,False,
Cipher Mining,press,CipherMining@DLPR.com,medium,https://www.globenewswire.com/news-release/2025/09/04/3144967/,AGENCY - Dukas Linden PR,False,
Crusoe Energy,press,Crusoe@offleashpr.com,medium,https://www.globenewswire.com/news-release/2025/10/08/3163531/,AGENCY - Offleash PR,False,
Soluna Holdings,press,Soluna@westof.co,medium,https://www.businesswire.com/news/home/20260609770692/en/,AGENCY - West of Fairfax,False,
GDS Holdings,ir,GDS@tpg-ir.com,medium,https://investors.gds-services.com/shareholder-services/investor-faqs/,AGENCY - Piacente/TPG-IR,False,
CoreWeave,press,press@coreweave.com,low,unverified-search-lead,UNVERIFIED lead - confirm before use,False,
